cluster,size,date,title,issue,seq,text
966809,308,1871-06-29,NA,/lccn/sn84026753/1871-06-29/ed-1,4,"THE BEAUTIFUL HOW,""
i' Oh! the mow, the beautiful snow,
Filling the aky and earth below;
Over the housetops, over the street.
Over the heads otthe people you meet,
Dancing,
Flirting,.
t Skimming along;
Beautiful snow! it can do no wrong.
Flying to kiss a fair lady's cheek,
Clinging to lips in a frolicksome freak,
Beautiful snow from the heaven above.
I Pure as an angel, gentle as love !
Oh ! the snow, the beautiful snow,
How the flakes gather and laugh as they go!
Whirling about in its maddening fun,
It plays in its glee with every one,
Chasing,
Laughing,
a Hurrying by,
It lights on the face, and it sparkles the eye !
And even the dogs, with a bark and a bound,
; Snap at the crystals that eddy around ;
The town is alive, and its heart in a glow,
To welcome the coming of beautiful snow !
How wild the crowd goes swaving along.
Hailing each other with huuior and song!
How the gay sledges, like meteors, flash by,
Bright for the moment, then lost to the eye ;
Ringing, Swinging,
* Dashing they go
Over the orn^t of the beautilul mow :

IE? Suow so pure when it falls from the sky,
'i To be trampled in mud by the crowd rushing by,
r To be trampled and tracked by the thousands of
P Till it blends with the filth in the horrible street!
| Once I was pure as4.he snow?but I fell!
% Fell like the snow-flakes, from Heaven to hell ;
| Fell to be trampled as filth of the street;
P Fell to be scoffed, to be spit 011 and beat,
i; Pleading,
I Cursing,
I Dreading to die,
|j Selling my 9OI1I to whoever would buy,
?' Dealing in shame for a morsel of bread,
f Hating the living and fearing the dead !
Merciful God ! have I falleu so low ?
And yet I was once like the beautiful snow.
1 HOUSE"
1572574,146,1871-06-29,NA,/lccn/sn84026753/1871-06-29/ed-1,4,"TRIBUNE. !
1 871.
i rr.
Through struggle and suffering, at the cost of
multiform agonies, bereavements, devastations,
the American Idea embodied in the preamble
to oar fathers' Declaration of Independence
approaches its complete realization. The no- j
ble, inspiring assertion that u all men are created
equal,"" and endowed by their Creator with
1 a I - I . - ?-e -

uiaiienaDte rigma to nie, liberty. and the pursuit
of happiness, is no longer a glittering generality.
a poet's fancy, a philosopher's speculation,
but the recognized base ot our political
fabric. The benign Revolution, which dates
from the Boston Massacre of 1770, hnds its
logical completion, just one century later, in
the XYth Amendment, which gives to the equal
political and civil rights of every man born or
naturalized in our Republic the shield and defense
of the Federal Constitution. The billows
of Ca>te and Privilege may roar and rage around
that rook, and may transiently seem on the
point of washing it away; but its foundations
are deep-laid ana steadfast, and the breakers of
Reaetion and Slavery are hurled against and
dash their spray over it in vain.
We do not underrate the forces of Prejudice
and Aristocracy. We do not forget that a very
large minority of the American People still
hold in their inmost hearts that Blacks nave no
rights which Whites are bound to respect. We
fully appreciate the desperation wherewith all
the warring elements of hatred to Republican
achievement will he combined and hurlea against
the battlements of Republican ascendency in
the Presidential Election of lt&lt;72. We do not
doubt that local successess, facilitated by Republican
feuds and dissensions, will inspire the
charging host with a saneuine hope of victory,
such as nerved it to put forth its tit most strength
in the earlier stages of the contests of 1864 and
1868. Yet our faith is clear and strong that the
American People still bless God that, on the
red battle fields of our late Civil War, the Union
was upheld and Slavery destroyed, and will
never consciously decide that the precious blood
thereon poured out was lavished in vain.
Th* Tut bi ke believes in the prosecution of
the great struggle by legitimate means to bene6oent
ends. To State Sovereignty it opposes
indissoluble National Integrity; to Slavery for
Blacks, Liberty for All; to Proscription, Enfranchisement;
to Popular Ignorance, Universal
Education; to intensity and eternity of
wrathful Hate, universal and invincible Good
Will. It would fain do its utmost to hasten the
glad day when the South shall vie with the
Aorth iu exultation and gratitude over the disr
xL . 1 _ .A A ~ *A.' 4 ~ C 4L-4

appearance 01 me iasi iru^e ur u&amp;uu ui umi
spirit which impelled Man to exult in the ownersnip
and chattelhood of his fellow Man.
Profoundly do we realize that the contest is
not yet ended?that Millions mourn, more or
less publicly, the downfall of the slaveholders'
Confederacy, and rear their children to hate
those by whose valor and constancy its overthrow
was achieved. If we ever geem to differ
essentially from other Republicans, our conviction
that magnanimity is never weakness, that
vengeance is never politic, and that devils are
not cut out by Beelzebub, must serve to explain
alleged eccentricities whose perfect vindication
we leave to Time and Reflection.
The Tkiicng has been, is, and must be, a
zealous advocate of Protection to Uouie Industry.
Regarding habitual idleness as the
greatest foe to hunl&amp;n progress, the bane of human
happiness, we sees to win onr countrymen
in masses from the ensnaring lures of Speculation,
of Traffic, and of always over-crowded Professions,
to the tranquil oaths of Prodnctive
Industry. We would gladly deplete our overcrowded
cities, where thousanas vainly jostle
and crowd in misguided quest of 44 Something
to Do,"" to cover prairies and plains with colonies
absorbed in Agriculture, Mechanics aud
Manufactures, and constantly projecting into
the blank, void wilderness the homes aud the
works of civilized Man. Holding the Protection
of Home Industry by discriminating duties on
imported Wares and Fabrics essential to the
rapid, beneficent diffusion of Production in ali
its phases and departments, and so to the instruction
of our people in all the gainful arts of
Poaop a-p urorp rmr r>r,iintr virion til mlhprp tn

and uphold that policy, in undouhling faith
that the true interest, not of a class or a section,
but of each section and every useful class, is
thereby subserved and promoted.
The Tribiue amis to be pre eminently a
News-paper. Its correspondents traverse every
State, are present on every important battle field,
are early advised of every notable Cabinet deoi
ston, observe the proceedings of Congress, Legislatures,
and of Conventions, and report to us by
telegraph all that seems of general interest. We
have paid for one day's momentous advices from
Europe by Cable tar more than our entire receipts
for the issue in which those advices
reached our readers. If lavish outlay, unsleeping
vigilance, and utibonuded faith in the liberality
and discernment of the reading public, will
enable us to make u journal which has no superior
in the accuracy, variety, and freshness of
its contents, The Tkihi n* shall be such a jour
uul.
To Agriculture and the subservient arts, we
have devoted, and shall persistently devote, more
means and space than any of our rivals. We aim
to make Tun Weekly Tribcse such a paper as
no farmer can afford to do without, however
widely his politics may differ from ours. Our reports
of the Cattle, Horse, Produce, and General
Markets, are so full and accurate, our essays in
elucidation of the farmer's calling, and our regular
reports of the Farmers' Club and kindred
gatherings, are so interesting, that the poorest
farmer will lind therein a mine of suggestion and
counsel, of which he cannot remain ignorant
without positive and serious loss. We sell The :
Weekly to Clubs for less than its value in dwel- !
lings for waste-paper ; and, though its subscrip- !
tion is already very large, we believe that a 1
Hull Millui.i rv, .ifu C.. u/lll t u In it wh?i,i.i.A(. i

it shall he commended to their attention. We
ask our friends everywhere to aid us in su com
mending it.
TERMS.
Daily Tribune, Mail Subscribers, $10 per
annum.
Simi-Weekly Tribune, Mail Subscribers, $1
per annum. Five copies or over, $3 each ; an
extra copy will be sent for every club of ten sent
for at one time ; or, if preferred, a copy of Recolections
of a Busy Life, by Mr. Greeley.
TERMS OF THE WEEKLY TRIBUNE.
To Mail Subscribers.
One copy, one year, 62 issues : $2.
Five Copies, one year, 62 issues it.
To One Add Iess, all at one Tost Office.
10 Copies $1.60 each.
20 Copies 1.26 each.
60 Copies 1.00 each.
And One Extra Copy to each Club.
To Names of Subscribers, all at one Fust Office.
10 Copies $1.00 each.
20 Copies 1.36 each.
60 Copies 1.10 each.
And One Extra Copy to each Club.
Persons entitled to an extra copy can, if preferred,
have either of the following books, postage
prepaid: Political Economy, by Horace
Greeley; Pear Culture for Profit, by P. T.
Quinu ; The Elements of Agriculture, by Geo.
E. Waring.
ADVERTISING RATES.
Daily Tribune, 30c., 40c., 60c., 76c., and $1
per line; Semi-Weekly Tribune, 26 and 60
cents per line; Weekly Tribune, $2, $3, and
$6 per line, according to position in the paper.
To subscribers wishing to preserve Mr. Greeley's
essays on u What 1 Know op Farming,'
and wbo pay the full price, i. e., $10 for Daily,
$4 forSEMi Weekly, or$2for Weekly Tribune,
we will send the book, post-paid, if request be
made at the time of subscribing.
BOOKS FOR SALE AT THE TRIBUNE
OFFICE.
The Tribune Almanac. Price 20 cents.
Tribune Almanac Reprint. 1&amp;3* to 1M*3.
2 vols. Half bound, $10.
Recollections of a Busy Life. By Horace
flrpplev. Various stvles of bindinir. Cloth *2 6ft

Libraryi $3.60. Halt' Morocco, $4. Hall Cloth, |
$6. Morocco Antique, $7.
Political Economy. By Ilorace Greeley.
$1.60.
Ewbanr's Hydraulics and Mechanics. Si*
teenth Edition. I.arye octavo. Cloth, $6.
Pea* Cci.ti'kt; ton Profit. Quino- $1.
Elements or Auriccltlke. Wariug. New
Edition. Cloth, $1.
Drainino for Health and Profit. Waring.
Cloth, $1.60.
Sent lree on receipt of price.
In making remittances always procure a draft
oit New York, or a Post Office Money Order, if
poesibfe. Where r. uiher of. these cam he procured,
send the, money, but always in a registered
letter. The registration fee has been re- j
duced to Jifteeri chits, and the present registra- ,
tion system has been found by the postal authorities
to be virtually an absolute protection
gainst losses by mail. All Postmasters are
obliged fo register letters when requested to
do so.
Terms, cash in advance.
Address Toe Tribune, New York. !
.

itprospectus"
8591409942,135,1871-06-29,NA,/lccn/sn84026753/1871-06-29/ed-1,3,"A*1* - '
?

The Ohio Republican Platform.
The following is the full text of the resolution!""
adopted by the Ohio Su e Republican
Convention :
Resolved. By the Republicans of Ohio in
convention assembled, as follows :
1. The Republican party of the luitrd states
may well challenge the admiration and confidence
of the country for its patriotism, courage,
and wisdom in preserving the Uuion of the
States, fur its justice, firmness, and magnanimity
in establishing tor all the people liberty
end equality before the law, for its gratitude to
and provision for the national defenders and
pensioners, for honor and good faith toward
'.he national creditors, and generally for the
luccessfal administration of public affairs in
jeace as well as in war.
2. We not only recognize the 13th, 14th, and
loth amendments to the Constitution 6f the I
Toiled States as accomplished facts, but also !
is just, wise, and valid articles of organic law,
o be jealously defended and enforced as parts
>f ihv Constitution n??w, henceforth, and for
ver.
_3. As it will be necessary atid de3iraf>le to

btaiu from duties on imports a large portion 1
f the revenues needed to defray the expenses
f the Government, to pay the interest on the
alional debt and the principle as it matures,
ach duties should be so adjusted as not to
rejudice hut promote the interests of every
?ction and brunch of industry, ns fur as may
e possible.
4. The present Administration of the Nation- i
I Government has vindicated its right to the
jntiuued confidence of the people. Its success
as been illustrated in the impartial execution
f the law. in its faithfulness, honesty, and
jononiy mtho collection of the public reveues,
and in the expenses of the Government,
) that, while taxation has been reduced to the (
itent of $100,(NJO,000 per year, the national
?bt has been paid to the amount of over $230,X),(X)0,
a reduction unparalleled in history,
he Administration has been equally success
il in the management of our foreign relations,
id has achieved imperishable honor in the ,
ttlement of our differences with Great Britaiu ,
&amp;on terms creditable to both countries as em- ,
>died iu the Treaty of Washington. The ,
tad of the Administration thus distinguished ,
; success uud statesmanship is justly entitled ,
be regarded as a wise and careful civil mag- [
trate. aud bis uniform deference to public ,
ntimcnt shows him to be one whom the ,
mntry can trust, having fully redeemed the j
edge he made before enteriug upon the duties

Chief Magistrate that he would have no a
ilicy of his owd to enforce against the will of ,
e people. r
5. We repeat our comieumation of the policy c
granting subsidies of public lands to corpora- t
?ns and monopolies, and having originated the
licy of granting homesteads to actual settlers,
) declare that the public dotnuiu should be
pt for our laboring population.
6. We are in favor of the adoption of u
orough system of civil service reform, and we
dorse heartily the action of President Grant
settling commissioners under the action of
8 recent so called civil service act.
7. We unite with our fellow citizens in every
rtion of the Union in the hope that the en- Q
ties and resentments of the war may soon be [
ded, and that the day may soon come when,
every State, every citizen may be safe in life, p
rson, property, and civil rights, and may ^
ve the equal protection of the laws, so that
man that was loyal to the Uuion during the p
8at struggle may for that reason be the vica
of persecution, outrage, and assassination,
d so ihat some encouragement may be offered
the removal in proper cases of political dis- (.
ilities for participation in the rebellion.
3. We recommend the calling of a convention
amend the Constitution of the State. 0
3. We express our unqualified approval of
; administration of our present State execu- p
e, Gov. R. B. Hayes, and assure him that
r verdict is "" Well done, good and faithful p
TMt."" q
Who Compose"
1563098,114,1871-06-29,NA,/lccn/sn84026753/1871-06-29/ed-1,4,"with the filth in the horrible street!
| Once I was pure as4.he snow?but I fell!
% Fell like the snow-flakes, from Heaven to hell ;
| Fell to be trampled as filth of the street;
P Fell to be scoffed, to be spit 011 and beat,
i; Pleading,
I Cursing,
I Dreading to die,
|j Selling my 9OI1I to whoever would buy,
?' Dealing in shame for a morsel of bread,
f Hating the living and fearing the dead !
Merciful God ! have I falleu so low ?
And yet I was once like the beautiful snow.
1"
1572572,114,1871-06-29,NA,/lccn/sn84026753/1871-06-29/ed-1,4,"dollars.
_ j
Subscription i*rice of the JVtr
A'atiunal Era,
payable invariably in advance.
1 copy oue year $4 50
1 copy (tlx mouths 1 '45
1 copy three mouths 05
5 copies oue year lO OO
5 copies six mouths. 5 SO
11 copies one year 40 00 >
10 copies six mouths lO 00

so (ioi ueiay nuiisu lling. ii il is uol couvenieui to iuu- ,
scribe lor a year, send $1M lor six mouths. It it cost a
little personal sacrifice the investment will pay.
To prevent loss semi all money iu Pout Office Ordsis, Registered
Letters, or Drafts.
All Postmasters are obliged to register letters w beuever
requested to do so.
The fee for registering is fifteen cents.
Address FREDERICK DOUGLASS, Jr.,
Lock Box 31, Washington, 1). C? (
Agents for the New National Era.
Mrs. LOUISE C. BUTLER, 1140 lfitb street, N. W , Washington,
D. 0.
ALEXANDER"
1572567,103,1871-06-29,NA,/lccn/sn84026753/1871-06-29/ed-1,4,"We sell The :
Weekly to Clubs for less than its value in dwel- !
lings for waste-paper ; and, though its subscrip- !
tion is already very large, we believe that a 1
Hull Millui.i rv, .ifu C.. u/lll t u In it wh?i,i.i.A(. i

it shall he commended to their attention. We
ask our friends everywhere to aid us in su com
mending it.
TERMS.
Daily Tribune, Mail Subscribers, $10 per
annum.
Simi-Weekly Tribune, Mail Subscribers, $1"
1572580,77,1871-06-29,NA,/lccn/sn84026753/1871-06-29/ed-1,4,"subject:
""For our own good and the welfare of out
| country in all things pertaining to her material
and moral well-being, we seek a better and
broader opportunity to gain knowledge in the
fields of agricultural, mechanical, commercial, 0
artistic, and professional labor, and this knoal
edge we would energise, direct, and make more
I largely effective through the enlightening and
sanctifying influence ot education. Our mottoes
are liberty and labor, enfranchisement and edu
cation! The spelling-book and the hoe, the
hammer and the vote, the opportunity to work
and to rise, a place on which to stand, and to
be and to do, we ask for ourselves and children
as the means in the use of which, under God,
we are to compass these achievements which
i furnish the measure, the test, and justification
i of our claim to impartial treatoieut and fair
I dealing.
''That this end may be reached, we ask. first I
of all, that trades be opened to our cluldreu. I
I and that they be given tne benefit of a justanu I
equitable system of apprenticeship ; in th? seoi
oud place, that for every day's labor given we
be paid full and fair remuneration, and that no
avenue of honest industry be closed against us,
; and thirdly, since we believe that the intelli* 1
gence, the elevation, and happiness of all peopis
! depends in no small degree upon the diversity
I of their iudusdrial pursuits, we ask that w*

may work in the printing office, whether private
or governmental, in the factory, the foundry, the
workshop, upon the railroad, the canal, the
river, the steamboat, in the warehouse, the store
> wherever labor is to be done and an able and
i faithful workman is wanted we conceive that
! we may claim a place without distinction asto
| our color or former condition, since all that can
i be demanded by the employer is ability, faith
I tul performances of the eon tract uisde, and the
j employee reasonable treatment and the cooipen
1 aation promised, tience"
1572632,75,1871-06-29,NA,/lccn/sn84026753/1871-06-29/ed-1,4,"i The New Nation*1 Era will partake of a two
fold nature- that of an Advocate and an Educator
A? an Advocate, it will assert and maintain ever? 4
right pertaining to the American citizen, independent
of race, color, or accident of birth h
will demand the recognition of these right*
wherever the Constitution extends or the
tional ensign waves- As an Educator, its column
will be an especial medium tor the effective
diffusion of right principles and much needed in
struction, and for the iuculcation of those habits ot
I industry, economy, and self reliance which con
duce to independent manhood, and give vitality
and energy to free government, insuring in return
I j
1 blessings to the governed.
While the editors of the New National Era are
colored men, and the contributors will be mainly
colored, yet the columns will be open tor the ^
I discussion of all questions of vital importance to
I the country by any of its citizens. Comrauuica
tions suitable for publication in these column*,
are solicited from our friends iu all parts ot the
' country, especially in the Southern States.
THE POLITICAL DEPARTMENT.
Upon all questions involving the especial inter
ests of the colored American citizen, the simple
rule of equal justice for all men will govern the
policy of the New National Era. It willdgumud
the recognition of no right for one citizen which
! it will not freely accord to every other. It will
I oppose any attempt to confer privileges upon a
' class, that are withheld from the humblest citizsa
1.

in tne land. It will demand for every citizen
equality before the law, aud full protection o!
person and property iu every State aud Territory
of the National Uuion.
The Nkw National Era will take high ground
upon all public questions, and labor to inspirt
a oneness 01 purpose and encourage unity ot a
action, especially among the newly enfranchised
people of the Reconstructed States. Keniem
bering the past history of the Republican party,
and recognizing what it has done for the colored
people of the nation, the New National Eiu
will give its hearty support to that party without ""1
reserve. This pledge of bdelity to the Republican
party is given under the conviction, and
with the assurance, that iu the tutcye, as in the
past, that party will be the steadfast and indexible
support of those principles of justice and
liberty which have now become a part of the
organic law of the land.
THE EDUCATIONAL DEPARTMENT.
By education the people of a free Government,
such as ours ia intended to be, are better qualitied
to discharge their duties to the State,
and to one another. The nation will ever find
its surest safeguard iu the intelligence of its
voting masses, and the journal which would pro
mote the highest good of government and people
must lend its energies and its power to the aork
of educating that people. Especially is the
agency of the press needed by that portion of
the people, colored and white, who, either
in slavery or under the ban of its blighting intluences,
have been deprived of the opportunities
enjoyed by their more favored brethren of tha

free States.
The Freedmeu's Bureau had under its cbarg#
during the past year, as shown by the last animal
report, 114,623 colored pupils in the day school#
and 89,731 in the Sunday schools, employing
6,660 teachers. About 190,000 of these pupils
were slaves at the commencement of the war.
The educational department of this paper will
contain matter prepared and selected with apeI
cial reference to the capacities and needs of tb.?
large number of pupils and teachers, thereby
making the Naw National Eka a valuable ant
iliary in the scheme of education.
THE INDUSTRIAL DEPARTMENT.
The industrial interests of the colored jieopfe
will claim and receive a large share of our attention.
We adopt the following extracts troiu
the address promulgated by the Colored Labor
! Convention held iu this city in December last, a?

i indicating the view* aud policy of tho Naw N'j
tional Era on this subject:
""For our own good and the welfare of out
| country in all things pertaining to her material
and moral well-being, we seek a better and
broader opportunity to gain knowledge in the
fields of agricultural, mechanical, commercial, 0
artistic, and professional labor, and this knoal
edge we would energise, direct, and make more
I largely effective through the enlightening and
sanctifying influence ot education. Our mottoes
are liberty and labor, enfranchisement and edu
cation! The spelling-book and the hoe, the
hammer and the vote, the opportunity to work
and to rise, a place on which to stand, and to
be and to do, we ask for ourselves and children
as the means in the use of which, under God,
we are to compass these achievements which
i furnish the measure, the test, and justification
i of our claim to impartial treatoieut and fair
I dealing.
''That this end may be reached, we ask. first I
of all, that trades be opened to our cluldreu. I
I and that they be given tne benefit of a justanu I
equitable system of apprenticeship ; in th? seoi
oud place, that for every day's labor given we
be paid full and fair remuneration, and that no
avenue of honest industry be closed against us,
; and thirdly, since we believe that the intelli* 1
gence, the elevation, and happiness of all peopis
! depends in no small degree upon the diversity
I of their iudusdrial pursuits, we ask that w*

may work in the printing office, whether private
or governmental, in the factory, the foundry, the
workshop, upon the railroad, the canal, the
river, the steamboat, in the warehouse, the store
> wherever labor is to be done and an able and
i faithful workman is wanted we conceive that
! we may claim a place without distinction asto
| our color or former condition, since all that can
i be demanded by the employer is ability, faith
I tul performances of the eon tract uisde, and the
j employee reasonable treatment and the cooipen
1 aation promised, tience, while we condemn that
spirit which in its proscriptive regulations deines
us industrial opportunity and the fruits of honest
toil, we rejoice in all those evidences ot proi
pective good which we and other laboring classes
see in the erection of factories and foundries in I
Maryland, Virginia, Kentucky, Missouri, f
ucssee, Georgia, and Alabama, promising thai
our strong and labor hardeued hamls, our intellectual
powers, quickened by the influences ot
education, and our purposes made doubly earnest
by considerate treatment aud the prospect of
just compensation, shall all be giveu to the dt
velopment of the industrial resources ol
several States in the interest of our employers.
The New National Era will be made a desi
rable visitor for the family and the fireside, anJ
we earnestly appeal to our friends everywhere
to aid ns by their subscriptions and their intlu
euce.
The subscription puce of the Nsw Natiom'ai
Era will be $2.60 a year for aingle subscriptions,
or 6 copies for $10, in advance.
Address FREDERICK DOUGLASS, Jr.,
Lock Box SI, Washington, D. C. 1"
8590883239,66,1871-06-29,NA,/lccn/sn84026753/1871-06-29/ed-1,4,"Oh ! the snow, the beautiful snow,
How the flakes gather and laugh as they go!
Whirling about in its maddening fun,
It plays in its glee with every one,
Chasing,
Laughing,
a Hurrying by,
It lights on the face, and it sparkles the eye !
And even the dogs, with a bark and a bound,
; Snap at the crystals that eddy around ;
The town is alive, and its heart in a glow,
To welcome the coming of beautiful snow !
How"
1572566,64,1871-06-29,NA,/lccn/sn84026753/1871-06-29/ed-1,4,"Profoundly do we realize that the contest is
not yet ended?that Millions mourn, more or
less publicly, the downfall of the slaveholders'
Confederacy, and rear their children to hate
those by whose valor and constancy its overthrow
was achieved. If"
